"artist","bdp","bdp_s","beg","beg_s","bsp","bsp_s","cdp","cdp_s","csp","csp_s","ddp","ddp_s","dsp","dsp_s","edp","edp_s","esp","esp_s","konami_id","sa4_id","title"
"NAOKI","5","0","3","0","4","0","-1","0","-1","0","6","0","6","0","9","0","9","0","ddOOOibQ6qIi9DI1bl8b108I1Ib6QDl9","97","1998"
"dj TAKA feat.のりあ","4","0","3","0","5","0","-1","0","-1","0","7","0","6","0","9","0","8","0","iI8qbP0IIb16Oi9bIbb8O9dbDDi1ql86","98","&hearts;Love&sup2;シュガ&rarr;&hearts;"
"DJ SIMON","5","0","4","0","5","0","-1","0","-1","0","8","0","9","0","11","0","11","0","Q96bO9D61lib19IiIi0i69P80bo6q69Q","99","321STARS"
"D.J.Amuro","5","0","4","0","5","0","13","0","12","0","7","0","8","0","11","0","11","0","oIb699q80OIPdlP0odl6bqbD0PlQodOq","100","A"
"Jimmy Weckl","8","0","7","0","8","0","13","0","13","0","11","0","10","0","13","0","12","0","O6I9ioqii8i6I1DIb1PqOD6q0ooo8bDo","101","Across the nightmare"
"DJ SIMON","5","0","3","0","5","0","-1","0","-1","0","7","0","7","0","11","0","10","0","il6PIiDq11dD1981dQ00918D96lPQ0iQ","102","air"
"KTz(remixed by U1)","5","0","4","0","4","0","-1","0","-1","0","8","0","9","0","10","0","10","0","dQ1oPoQqD0db8O19P1P0D1oq8I68i1Id","103","AM-3P -303 BASS MIX-"
"RevenG","7","0","2","0","7","0","13","0","13","0","12","0","11","0","13","0","13","0","9qbdq1PiI1O81P1PdioQli66Ob9QiiQP","104","bag"
"D-Crew","5","0","4","0","5","0","-1","0","-1","0","10","0","9","0","12","0","12","0","P0O81Dl9Oiiid8bdOi0oqbD8DqolObbP","105","BE LOVIN"
"dj TAKA","5","0","3","0","5","0","13","0","13","0","7","0","8","0","10","0","9","0","odOQ1d1i6oil81b1QIDP6dOqqdooD918","106","Colors 〜for EXTREME〜"
"CLUB SPICE","4","0","3","0","3","0","-1","0","-1","0","6","0","4","0","9","0","9","0","doQI0i6lQbOo66DOi6olPqOPqIqO8Qd1","107","CUTIE CHASER(MORNING MIX)"
"DDR ALL STARS","6","0","5","0","6","0","11","0","12","0","8","0","8","0","12","0","12","0","6lQ9iQdq8P0Q11q9O8dbl9Q9Pi8bIb98","108","Dance Dance Revolution"
"くにたけ みゆき","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","12","0","13","0","1diQi81loIodIdOlQ8Pd6Qd8b69Q1DP8","109","Destiny lovers"
"Scotty D.","4","0","3","0","5","0","-1","0","-1","0","5","0","7","0","10","0","10","0","I0b6lIP691dOOI8PqDDlbPid9iO8o0lO","110","DROP THE BOMB(SyS.F. Mix)"
"dj TAKA","4","0","4","0","5","0","-1","0","-1","0","8","0","9","0","11","0","12","0","IQ9bDo1dPbIo0ODQiObbQ99iP1bOi8iI","111","Frozen Ray 〜for EXTREME〜"
"TOMOSUKE","5","0","3","0","4","0","-1","0","-1","0","7","0","7","0","13","0","12","0","69qoD0l6olQqqbl09b069q898b600I6o","112","Gamelan de Couple"
"BeForU","3","0","2","0","3","0","-1","0","-1","0","7","0","7","0","9","0","9","0","10oQOoD00O1ql8qD88dI0i0biP69blq6","113","GRADUATION 〜それぞれの明日〜"
"ASKA","5","0","3","0","4","0","-1","0","-1","0","6","0","6","0","9","0","10","0","oo8DId90dbDliiQQlQPQQoIq6lPliqo9","114","Happy Wedding"
"Hiro feat. Sweet little 30's","5","0","4","0","5","0","-1","0","-1","0","7","0","7","0","13","0","12","0","oDlO8QQOQ68IO61q9PQd800QiOll1odI","115","Heaven is a '57 metallic gray 〜gimmix〜"
"NAOKI feat. DDR ALL STARS","6","0","3","0","4","0","-1","0","-1","0","9","0","6","0","11","0","10","0","I08olqilqQi9Dd0qOq0o09PPqI0l11QI","116","HYPER EUROBEAT"
"Kelly Cosmo","4","0","3","0","4","0","-1","0","-1","0","7","0","7","0","11","0","9","0","lPoD60qooQ91QDq1qO9d19q9IoDIlPq9","117","I'm gonna get you!"
"T.E.M.P.O. feat.Mohammed & Emi","6","0","3","0","4","0","-1","0","-1","0","7","0","7","0","11","0","10","0","8qd9d01dPOq1lOOoPiOIoPobdd1QODPq","118","jane jana"
"Mutsuhiko Izumi","5","0","3","0","4","0","-1","0","-1","0","8","0","7","0","11","0","11","0","1PQdDiqOD6o1b61iiDOoiiblIQbI91Pb","119","JET WORLD"
"NAOKI feat. SHANTI","5","0","4","0","5","0","-1","0","-1","0","8","0","6","0","12","0","12","0","qIoDdQ1OOoPO8Q1Io0P168161DODPoqb","120","KISS KISS KISS"
"NAOKI J-STYLE feat.MIU","3","0","3","0","3","0","-1","0","-1","0","6","0","6","0","11","0","10","0","iOqb60DOOolIioDIOPi09P91i8PDiOqq","121","Kiss me all night long"
"メキシコ民謡","4","0","3","0","4","0","-1","0","-1","0","8","0","8","0","10","0","11","0","9IOdDPPO1IIPD9oDbOPo0Qo99Ii6Q8oi","122","LA BAMBA"
"NAOKI underground","6","0","3","0","6","0","-1","0","-1","0","9","0","9","0","12","0","12","0","8IIoIQQqlooiI6QD9ldIO6qidP98QP68","123","L'amour et la libert&eacute;(DDR Ver.)"
"小坂 りゆ","5","0","3","0","5","0","-1","0","-1","0","7","0","6","0","11","0","9","0","qIP6DPdbD9iO86i1DO9qDd8l6dPdbl0P","124","LOVE&hearts;SHINE"
